CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Ryu,
Ken Masters,
Chun-Li,
Guile,
Zangief,
Dhalsim,
Blanka,
E. Honda,
Balrog,
Vega,
Sagat,
M. Bison,
Cammy White,
Fei Long,
Dee Jay,
T. Hawk,
Akuma,
Sakura Kasugano,
Dan Hibiki,
Rose,
