CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Ryo Sakazaki,
Robert Garcia,
Kasumi Todoh,
Karman Cole,
Lenny Creston,
Rody Birts,
Wang Koh-San,
Sinclair,
Wyler.
