CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Blizzard (Gorilla blanco),
Chaos (Velociraptor),
Diablo (Tyrannosaurus rex),
Armadon (Anquilosaurio),
Sauron (Allosaurus),
Talon (Terodáctilo),
Vertigo (Mono Gigante),
Slashfang (Mono Gigante),
