CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Haohmaru,
Nakoruru,
Ukyo Tachibana,
Jubei Yagyu,
Galford,
Hanzo Hattori,
Charlotte,
Tam Tam,
Genjuro Kibagami,
Kyoshiro Senryo,
Earthquake,
Shiki,
Yoshitora Tokugawa,
Rimururu,
Wu-Ruixiang,
Yashamaru Kurama,
Darli Dagger,
Kazuki Kazama (DLC),
Basara (DLC),
Wan-Fu (DLC),
Mina Majikina (DLC),
Sogetsu Kazama (DLC),
Iroha (DLC),
Warden (DLC),
Gongsun Li (DLC),
