CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Ryu,
Ken Masters,
Chun-Li,
Guile,
Zangief,
Dhalsim,
Sagat,
Vega,
M. Bison,
Balrog,
Blanka,
Akuma (Gouki),
Hokuto,
Cracker Jack,
Doctrine Dark,
Skullomania,
Darun Mister,
Allen Snider,
Blair Dame,
Kairi,
Garuda,
Shadowgeist,
Sharon,
Nanase,
Pullum Purna,
V. Rosso,
Area,
Hayate,
Nanase,
Shadowgeist,
