CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Yugo the Wolf,
Alice the Rabbit,
Long the Tiger,
Gado the Lion,
Mitsuko the Boar,
Greg the Gorilla,
Hans the Fox,
Fox the Fox,
