Games,Images Path
Marvel Vs Capcom 3: Fate of Two Worlds,dataset/Marvel-Vs-Capcom-3-Fate-of-Two-Worlds-Cover/Image_1.jpg
Ultimate Marvel Vs Capcom 3,dataset/Ultimate-Marvel-Vs-Capcom-3-Cover/Image_1.jpg
Marvel Vs Capcom Infinite,dataset/Marvel-Vs-Capcom-Infinite-Cover/Image_1.jpg
Rival Schools: United by Fate,dataset/Rival-Schools-United-by-Fate-Cover/Image_1.jpg
Project Justice,dataset/Project-Justice-Cover/Image_1.jpg
Virtua Fighter,dataset/Virtua-Fighter-Cover/Image_1.jpg
Virtua Fighter 2,dataset/Virtua-Fighter-2-Cover/Image_1.png
Virtua Fighter 3,dataset/Virtua-Fighter-3-Cover/Image_1.jpg
Virtua Fighter 4,dataset/Virtua-Fighter-4-Cover/Image_1.jpg
Virtua Fighter 5,dataset/Virtua-Fighter-5-Cover/Image_1.jpg
Granblue Fantasy: Versus,dataset/Granblue-Fantasy-Versus-Cover/Image_1.jpg
Grandblue Fantasy Versus:Rising,dataset/Grandblue-Fantasy-VersusRising-Cover/Image_1.jpg
Under Night In-Birth,dataset/Under-Night-In-Birth-Cover/Image_1.jpg
Under Night In-Birth Exe:Late,dataset/Under-Night-In-Birth-ExeLate-Cover/Image_1.jpg
UNDER NIGHT IN-BIRTH II Sys:Celes,dataset/UNDER-NIGHT-IN-BIRTH-II-SysCeles-Cover/Image_1.jpg
Melty Blood,dataset/Melty-Blood-Cover/Image_1.jpg
Melty Blood: Re-ACT,dataset/Melty-Blood-Re-ACT-Cover/Image_1.png
Melty Blood: Act Cadenza,dataset/Melty-Blood-Act-Cadenza-Cover/Image_1.jpg
Melty Blood: Act Cadenza Ver.B,dataset/Melty-Blood-Act-Cadenza-Ver.B-Cover/Image_1.jpg
Melty Blood: Actress Again,dataset/Melty-Blood-Actress-Again-Cover/Image_1.png
Melty Blood: Actress Again Current Code,dataset/Melty-Blood-Actress-Again-Current-Code-Cover/Image_1.jpg
Melty Blood: Type Lumina,dataset/Melty-Blood-Type-Lumina-Cover/Image_1.jpg
Pocket Rumble,dataset/Pocket-Rumble-Cover/Image_1.jpg
Capcom Vs SNK: Millennium Fight 2000,dataset/Capcom-Vs-SNK-Millennium-Fight-2000-Cover/Image_1.png
