Tekken, 1994
Tekken 2, 1995
Tekken 3, 1997
Tekken 4, 2001
Tekken 5, 2004
Tekken 6, 2007
Tekken 7, 2015
Tekken 8, 2024
Tekken 5: Dark Resurrection, 2005
Tekken 6: Bloodline Rebellion, 2008
Tekken 7: Fated Retribution, 2016
Tekken Hybrid, 2011
Tekken Tag Tournament 2 Unlimited, 2012
Tekken 7: Fated Retribution, 2016
Tekken Tag Tournament, 1999
Tekken Tag Tournament 2, 2011
Guilty Gear, 1998
Guilty Gear X ver 1.5, 2003
Guilty Gear XX Accent Core Plus R, 2012
Guilty Gear Xrd Rev 2, 2017
Guilty Gear Strive, 2021
Marvel Super Heroes vs. Street Fighter, 1997
X-Men vs Street Fighter, 1996 
Street Fighter, 1987
Street Fighter II, 1991
Street Fighter Champion Edition, 1992
Street Fighter II: Hyper Fighting, 1992
Hyper Street Fighter II, 2003
Super Street Fighter II, 1993
Super Street Fighter II Turbo, 1994
Street Fighter Alpha, 1995
Street Fighter Alpha 2, 1996
Street Fighter Alpha 3, 1998
Street Fighter III New Generation, 1997
Street Fighter III 2nd Impact, 1997
Street Fighter III 3rd Strike, 1999
Street Figther EX, 1996
Street Fighther EX Plus, 1997
Street Fighter EX 2, 1998
Street Fighter EX 2 Plus, 1999
Street Fighter EX 3, 2000
Street Fighter IV, 2008
Super Street Fighter IV, 2010
Super Street Fighter IV Arcade Edition, 2011
Ultra Street Fighter IV, 2014
Street Fighter V Champion Edition, 2020
Street Fighter VI, 2023
Stret Fighter X Tekken, 2012
The King Of Fighters '94, 2012
The King Of Fighters '95, 2012
The King Of Fighters '96, 2012
The King Of Fighters '97, 2012
The King of Fighters '98, 2012
The King Of Fighters '99, 2012
The King Of Fighters 2000,2012
The King Of Fighters 2001,2012
The King Of Fighters 2002, 2012
The King Of Fighters 2003, 2012
The King of Fighters XI, 2012
The King of Figthers XII, 2012
The King of Fighters XIII, 2012
The King of Fighters XIV, 2012
The King of Fighters XV, 2012
Red Earth, 2012
Darkstalkers: The Night Warriors, 2012
Night Warriors: Darkstalkers' Revenge, 2012
Vampire Savior: The Lord of Vampire, 2012
Vampire Hunter 2: Darkstalkers' Revenge, 2012
Vampire Savior 2: The Lord of Vampire, 2012
Marvel Vs Capcom: Clash of Super Heroes, 2012
Marvel Vs Capcom 2: New Age of Heroes, 2012
Marvel Vs Capcom 3: Fate of Two Worlds, 2012
Ultimate Marvel Vs Capcom 3, 2012
Marvel Vs Capcom Infinite, 2012
Rival Schools: United by Fate, 2012
Project Justice, 2012
Virtua Fighter, 2012
Virtua Fighter 2, 2012
Virtua Fighter 3, 2012
Virtua Fighter 4, 2012
Virtua Fighter 5, 2012
Granblue Fantasy: Versus, 2012
Grandblue Fantasy Versus:Rising, 2012
Under Night In-Birth, 2012
Under Night In-Birth Exe:Late, 2012
UNDER NIGHT IN-BIRTH II Sys:Celes, 2012
Melty Blood, 2012
Melty Blood: Re-ACT, 2012
Melty Blood: Act Cadenza, 2012
Melty Blood: Act Cadenza Ver.B, 2012
Melty Blood: Actress Again, 2012
Melty Blood: Actress Again Current Code, 2012
Melty Blood: Type Lumina, 2012
Pocket Rumble, 2012
